FyToken,Symbol Details,Exchange Instrument Type,Minimum Lot Size,Tick Size,ISIN,Trading Session,Last Update Date,Expiry Date,Symbol Ticker,Exchange,Segment,Scrip Code,Underlying Symbol,Underlying Scrip Code,Strike Price,Option Type,Underlying FyToken,Reserved 1,Reserved 2,Reserved 3
101125050838295,NIFTY 25 May 08 18000 PE,14,75,0.05,,0915-1530|1815-1915:,2025-04-30,1746698400,NSE:NIFTY2550818000PE,10,11,38295,NIFTY,26000,18000.0,PE,101000000026000,None,0,0.0
101125050838296,NIFTY 25 May 08 18050 CE,14,75,0.05,,0915-1530|1815-1915:,2025-04-30,1746698400,NSE:NIFTY2550818050CE,10,11,38296,NIFTY,26000,18050.0,CE,101000000026000,None,0,0.0
101125050838297,NIFTY 25 May 08 18050 PE,14,75,0.05,,0915-1530|1815-1915:,2025-04-30,1746698400,NSE:NIFTY2550818050PE,10,11,38297,NIFTY,26000,18050.0,PE,101000000026000,None,0,0.0
101125050838298,NIFTY 25 May 08 18100 CE,14,75,0.05,,0915-1530|1815-1915:,2025-04-30,1746698400,NSE:NIFTY2550818100CE,10,11,38298,NIFTY,26000,18100.0,CE,101000000026000,None,0,0.0
101125050838299,NIFTY 25 May 08 18100 PE,14,75,0.05,,0915-1530|1815-1915:,2025-04-30,1746698400,NSE:NIFTY2550818100PE,10,11,38299,NIFTY,26000,18100.0,PE,101000000026000,None,0,0.0
101125050838300,NIFTY 25 May 08 18150 CE,14,75,0.05,,0915-1530|1815-1915:,2025-04-30,1746698400,NSE:NIFTY2550818150CE,10,11,38300,NIFTY,26000,18150.0,CE,101000000026000,None,0,0.0
101125050838301,NIFTY 25 May 08 18150 PE,14,75,0.05,,0915-1530|1815-1915:,2025-04-30,1746698400,NSE:NIFTY2550818150PE,10,11,38301,NIFTY,26000,18150.0,PE,101000000026000,None,0,0.0
101125050838302,NIFTY 25 May 08 18200 CE,14,75,0.05,,0915-1530|1815-1915:,2025-04-30,1746698400,NSE:NIFTY2550818200CE,10,11,38302,NIFTY,26000,18200.0,CE,101000000026000,None,0,0.0
101125050838303,NIFTY 25 May 08 18200 PE,14,75,0.05,,0915-1530|1815-1915:,2025-04-30,1746698400,NSE:NIFTY2550818200PE,10,11,38303,NIFTY,26000,18200.0,PE,101000000026000,None,0,0.0
101125050838304,NIFTY 25 May 08 18250 CE,14,75,0.05,,0915-1530|1815-1915:,2025-04-30,1746698400,NSE:NIFTY2550818250CE,10,11,38304,NIFTY,26000,18250.0,CE,101000000026000,None,0,0.0
101125050838305,NIFTY 25 May 08 18250 PE,14,75,0.05,,0915-1530|1815-1915:,2025-04-30,1746698400,NSE:NIFTY2550818250PE,10,11,38305,NIFTY,26000,18250.0,PE,101000000026000,None,0,0.0
101125050838306,NIFTY 25 May 08 18300 CE,14,75,0.05,,0915-1530|1815-1915:,2025-04-30,1746698400,NSE:NIFTY2550818300CE,10,11,38306,NIFTY,26000,18300.0,CE,101000000026000,None,0,0.0
101125050838307,NIFTY 25 May 08 18300 PE,14,75,0.05,,0915-1530|1815-1915:,2025-04-30,1746698400,NSE:NIFTY2550818300PE,10,11,38307,NIFTY,26000,18300.0,PE,101000000026000,None,0,0.0
101125050838308,NIFTY 25 May 08 18350 CE,14,75,0.05,,0915-1530|1815-1915:,2025-04-30,1746698400,NSE:NIFTY2550818350CE,10,11,38308,NIFTY,26000,18350.0,CE,101000000026000,None,0,0.0
101125050838309,NIFTY 25 May 08 18350 PE,14,75,0.05,,0915-1530|1815-1915:,2025-04-30,1746698400,NSE:NIFTY2550818350PE,10,11,38309,NIFTY,26000,18350.0,PE,101000000026000,None,0,0.0
101125050838310,NIFTY 25 May 08 18400 CE,14,75,0.05,,0915-1530|1815-1915:,2025-04-30,1746698400,NSE:NIFTY2550818400CE,10,11,38310,NIFTY,26000,18400.0,CE,101000000026000,None,0,0.0
101125050838311,NIFTY 25 May 08 18400 PE,14,75,0.05,,0915-1530|1815-1915:,2025-04-30,1746698400,NSE:NIFTY2550818400PE,10,11,38311,NIFTY,26000,18400.0,PE,101000000026000,None,0,0.0
101125050838312,NIFTY 25 May 08 18450 CE,14,75,0.05,,0915-1530|1815-1915:,2025-04-30,1746698400,NSE:NIFTY2550818450CE,10,11,38312,NIFTY,26000,18450.0,CE,101000000026000,None,0,0.0
101125050838313,NIFTY 25 May 08 18450 PE,14,75,0.05,,0915-1530|1815-1915:,2025-04-30,1746698400,NSE:NIFTY2550818450PE,10,11,38313,NIFTY,26000,18450.0,PE,101000000026000,None,0,0.0
101125050838314,NIFTY 25 May 08 18500 CE,14,75,0.05,,0915-1530|1815-1915:,2025-04-30,1746698400,NSE:NIFTY2550818500CE,10,11,38314,NIFTY,26000,18500.0,CE,101000000026000,None,0,0.0
101125050838315,NIFTY 25 May 08 18500 PE,14,75,0.05,,0915-1530|1815-1915:,2025-04-30,1746698400,NSE:NIFTY2550818500PE,10,11,38315,NIFTY,26000,18500.0,PE,101000000026000,None,0,0.0
101125050838316,NIFTY 25 May 08 18550 CE,14,75,0.05,,0915-1530|1815-1915:,2025-04-30,1746698400,NSE:NIFTY2550818550CE,10,11,38316,NIFTY,26000,18550.0,CE,101000000026000,None,0,0.0
101125050838317,NIFTY 25 May 08 18550 PE,14,75,0.05,,0915-1530|1815-1915:,2025-04-30,1746698400,NSE:NIFTY2550818550PE,10,11,38317,NIFTY,26000,18550.0,PE,101000000026000,None,0,0.0
101125050838318,NIFTY 25 May 08 18600 CE,14,75,0.05,,0915-1530|1815-1915:,2025-04-30,1746698400,NSE:NIFTY2550818600CE,10,11,38318,NIFTY,26000,18600.0,CE,101000000026000,None,0,0.0
101125050838319,NIFTY 25 May 08 18600 PE,14,75,0.05,,0915-1530|1815-1915:,2025-04-30,1746698400,NSE:NIFTY2550818600PE,10,11,38319,NIFTY,26000,18600.0,PE,101000000026000,None,0,0.0
101125050838320,NIFTY 25 May 08 18650 CE,14,75,0.05,,0915-1530|1815-1915:,2025-04-30,1746698400,NSE:NIFTY2550818650CE,10,11,38320,NIFTY,26000,18650.0,CE,101000000026000,None,0,0.0
101125050838321,NIFTY 25 May 08 18650 PE,14,75,0.05,,0915-1530|1815-1915:,2025-04-30,1746698400,NSE:NIFTY2550818650PE,10,11,38321,NIFTY,26000,18650.0,PE,101000000026000,None,0,0.0
101125050838322,NIFTY 25 May 08 18700 CE,14,75,0.05,,0915-1530|1815-1915:,2025-04-30,1746698400,NSE:NIFTY2550818700CE,10,11,38322,NIFTY,26000,18700.0,CE,101000000026000,None,0,0.0
101125050838323,NIFTY 25 May 08 18700 PE,14,75,0.05,,0915-1530|1815-1915:,2025-04-30,1746698400,NSE:NIFTY2550818700PE,10,11,38323,NIFTY,26000,18700.0,PE,101000000026000,None,0,0.0
101125050838326,NIFTY 25 May 08 18750 CE,14,75,0.05,,0915-1530|1815-1915:,2025-04-30,1746698400,NSE:NIFTY2550818750CE,10,11,38326,NIFTY,26000,18750.0,CE,101000000026000,None,0,0.0
101125050838327,NIFTY 25 May 08 18750 PE,14,75,0.05,,0915-1530|1815-1915:,2025-04-30,1746698400,NSE:NIFTY2550818750PE,10,11,38327,NIFTY,26000,18750.0,PE,101000000026000,None,0,0.0
101125050838328,NIFTY 25 May 08 18800 CE,14,75,0.05,,0915-1530|1815-1915:,2025-04-30,1746698400,NSE:NIFTY2550818800CE,10,11,38328,NIFTY,26000,18800.0,CE,101000000026000,None,0,0.0
101125050838329,NIFTY 25 May 08 18800 PE,14,75,0.05,,0915-1530|1815-1915:,2025-04-30,1746698400,NSE:NIFTY2550818800PE,10,11,38329,NIFTY,26000,18800.0,PE,101000000026000,None,0,0.0
101125050838330,NIFTY 25 May 08 18850 CE,14,75,0.05,,0915-1530|1815-1915:,2025-04-30,1746698400,NSE:NIFTY2550818850CE,10,11,38330,NIFTY,26000,18850.0,CE,101000000026000,None,0,0.0
