Exch,ExchType,ScripCode,Name,Expiry,ScripType,StrikeRate,FullName,TickSize,LotSize,QtyLimit,Multiplier,SymbolRoot,BOCOAllowed,ISIN,ScripData,Series
N,D,35000,MIDCPNIFTY 27 MAR 2025,2025-03-27,XX,0,MIDCPNIFTY 27 MAR 2025,0.05,120,4200,1,MIDCPNIFTY,N,MIDCPNIFTY,MIDCPNIFTY 27 MAR 2025_20250327,XX
N,D,35001,NIFTY 27 MAR 2025,2025-03-27,XX,0,NIFTY 27 MAR 2025,0.05,75,1800,1,NIFTY,Y,NIFTY,NIFTY 27 MAR 2025_20250327,XX
N,D,35002,AARTIIND 27 MAR 2025,2025-03-27,XX,0,AARTIIND 27 MAR 2025,0.05,1000,50000,1,AARTIIND,N,INE769A01020,AARTIIND 27 MAR 2025_20250327,XX
N,D,35003,ABB 27 MAR 2025,2025-03-27,XX,0,ABB 27 MAR 2025,0.05,125,3750,1,ABB,N,INE117A01022,ABB 27 MAR 2025_20250327,XX
N,D,35004,FINNIFTY 27 MAR 2025,2025-03-27,XX,0,FINNIFTY 27 MAR 2025,0.05,65,1755,1,FINNIFTY,N,FINNIFTY,FINNIFTY 27 MAR 2025_20250327,XX
N,D,35005,NIFTYNXT50 27 MAR 2025,2025-03-27,XX,0,NIFTYNXT50 27 MAR 2025,0.05,25,600,1,NIFTYNXT50,N,NIFTYNXT50,NIFTYNXT50 27 MAR 2025_20250327,XX
N,D,35006,BANKNIFTY 24 APR 2025 CE 33300.00,2025-04-24,CE,33300,BANKNIFTY 24 APR 2025 CE 33300.00,0.05,30,900,1,BANKNIFTY,N,BANKNIFTY,BANKNIFTY 24 APR 2025 CE 33300.00_20250424_CE_33300,XX
N,D,35007,BANKNIFTY 24 APR 2025 PE 33300.00,2025-04-24,PE,33300,BANKNIFTY 24 APR 2025 PE 33300.00,0.05,30,900,1,BANKNIFTY,N,BANKNIFTY,BANKNIFTY 24 APR 2025 PE 33300.00_20250424_PE_33300,XX
N,D,35008,ABCAPITAL 27 MAR 2025,2025-03-27,XX,0,ABCAPITAL 27 MAR 2025,0.01,2700,135000,1,ABCAPITAL,N,INE674K01013,ABCAPITAL 27 MAR 2025_20250327,XX
N,D,35009,BANKNIFTY 27 MAR 2025 CE 64600.00,2025-03-27,CE,64600,BANKNIFTY 27 MAR 2025 CE 64600.00,0.05,30,900,1,BANKNIFTY,N,BANKNIFTY,BANKNIFTY 27 MAR 2025 CE 64600.00_20250327_CE_64600,XX
N,D,35010,BANKNIFTY 27 MAR 2025 PE 64600.00,2025-03-27,PE,64600,BANKNIFTY 27 MAR 2025 PE 64600.00,0.05,30,900,1,BANKNIFTY,N,BANKNIFTY,BANKNIFTY 27 MAR 2025 PE 64600.00_20250327_PE_64600,XX
N,D,35011,BANKNIFTY 24 APR 2025 CE 64400.00,2025-04-24,CE,64400,BANKNIFTY 24 APR 2025 CE 64400.00,0.05,30,900,1,BANKNIFTY,N,BANKNIFTY,BANKNIFTY 24 APR 2025 CE 64400.00_20250424_CE_64400,XX
N,D,35012,BANKNIFTY 24 APR 2025 PE 64400.00,2025-04-24,PE,64400,BANKNIFTY 24 APR 2025 PE 64400.00,0.05,30,900,1,BANKNIFTY,N,BANKNIFTY,BANKNIFTY 24 APR 2025 PE 64400.00_20250424_PE_64400,XX
N,D,35013,BANKNIFTY 24 APR 2025 CE 33400.00,2025-04-24,CE,33400,BANKNIFTY 24 APR 2025 CE 33400.00,0.05,30,900,1,BANKNIFTY,N,BANKNIFTY,BANKNIFTY 24 APR 2025 CE 33400.00_20250424_CE_33400,XX
N,D,35014,BANKNIFTY 24 APR 2025 PE 33400.00,2025-04-24,PE,33400,BANKNIFTY 24 APR 2025 PE 33400.00,0.05,30,900,1,BANKNIFTY,N,BANKNIFTY,BANKNIFTY 24 APR 2025 PE 33400.00_20250424_PE_33400,XX
